method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m4,high,TBIL,6673,0.0922,0.673,0.8769,
Cohen_m4,high,TGL,339,0.2389,0.6524,0.711,
Cohen_m4,high,TP,879,0.0091,0.5666,1.0,
Cohen_m4,high,WBC,76280,0.2376,0.8736,0.7669,
Cohen_m4,low,ALB,69030,0.0333,0.4027,0.7557,
Cohen_m4,low,ALP,186,0.1989,0.7929,1.0,
Cohen_m4,low,ALT,2970,0.6195,1.0449,0.7619,
Cohen_m4,low,AST,1266,0.0498,0.7062,0.9609,
Cohen_m4,low,BUN,19698,0.1313,0.8018,0.8766,
Cohen_m4,low,CA,138820,0.1907,0.6672,0.7798,
Cohen_m4,low,CL,43667,0.0748,0.6145,0.9216,
Cohen_m4,low,CO2,75898,0.0226,0.7881,0.9971,
Cohen_m4,low,CRE,44621,0.2824,0.7265,0.7613,
Cohen_m4,low,DBIL,381,0.0,0.3418,1.0,
Cohen_m4,low,GLU,19941,0.0003,0.6288,0.2161,
Cohen_m4,low,HCT,256361,0.2043,1.1089,0.1088,
Cohen_m4,low,HDL,29,0.4138,0.7754,0.6036,
Cohen_m4,low,HGB,260837,0.3291,1.1212,0.2055,
Cohen_m4,low,K,42680,0.0056,0.627,1.0,
Cohen_m4,low,MCH,38019,0.5722,0.8736,0.6058,
Cohen_m4,low,MCHC,124070,0.504,0.7731,0.5058,
Cohen_m4,low,MCV,5859,0.9575,0.8597,0.6062,
