analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
MCV,NORMA_q_age_set,aki,pop_normal,46506.0,7240.0,native,0.1691988950276243,0.8550909183517547,0.1771511207519884,6915.0
MCV,NORMA_q_age_set,aki,pop_normal,46506.0,7240.0,rate_of:PerRI,0.6064917127071823,0.4288188254469515,0.1637272083224579,26819.0
MPV,PerRI,aki,pop_normal,35566.0,5250.0,native,0.5318095238095238,0.4671130756036416,0.1473584208581833,18947.0
MPV,PerRI,aki,pop_normal,35566.0,5250.0,rate_of:PerRI,0.5318095238095238,0.4671130756036416,0.1473584208581833,18947.0
MPV,NORMA_q_age_set,aki,pop_normal,35566.0,5250.0,native,0.6182857142857143,0.4028565773848793,0.1520445922525645,21349.0
MPV,NORMA_q_age_set,aki,pop_normal,35566.0,5250.0,rate_of:PerRI,0.5521904761904762,0.4706425649821876,0.1530057528896395,18947.0
NA,PerRI,aki,pop_normal,53278.0,8437.0,native,0.4731539646793884,0.5141276956356905,0.1548547267155436,25779.0
NA,PerRI,aki,pop_normal,53278.0,8437.0,rate_of:PerRI,0.4731539646793884,0.5141276956356905,0.1548547267155436,25779.0
NA,NORMA_q_age_set,aki,pop_normal,53278.0,8437.0,native,0.1816996562759274,0.8508507838808234,0.1864736650042573,8221.0
NA,NORMA_q_age_set,aki,pop_normal,53278.0,8437.0,rate_of:PerRI,0.5191418750740785,0.5227804910684418,0.1699057372279762,25779.0
PLT,PerRI,aki,pop_normal,43751.0,6249.0,native,0.7129140662506,0.2575862620660231,0.1379385082205777,32297.0
PLT,PerRI,aki,pop_normal,43751.0,6249.0,rate_of:PerRI,0.7129140662506,0.2575862620660231,0.1379385082205777,32297.0
PLT,NORMA_q_age_set,aki,pop_normal,43751.0,6249.0,native,0.3602176348215714,0.6734840808490213,0.1552842163355408,14496.0
PLT,NORMA_q_age_set,aki,pop_normal,43751.0,6249.0,rate_of:PerRI,0.770523283725396,0.2671857500933283,0.1490850543394123,32297.0
RBC,PerRI,aki,pop_normal,8523.0,915.0,native,0.419672131147541,0.619348054679285,0.1170731707317073,3280.0
RBC,PerRI,aki,pop_normal,8523.0,915.0,rate_of:PerRI,0.419672131147541,0.619348054679285,0.1170731707317073,3280.0
RBC,NORMA_q_age_set,aki,pop_normal,8523.0,915.0,native,0.0972677595628415,0.917981072555205,0.1248246844319775,713.0
RBC,NORMA_q_age_set,aki,pop_normal,8523.0,915.0,rate_of:PerRI,0.4163934426229508,0.6189537329127235,0.1161585365853658,3280.0
RDW,PerRI,aki,pop_normal,19605.0,2213.0,native,0.43831902394939,0.5648574057037719,0.1136097446708831,8538.0
RDW,PerRI,aki,pop_normal,19605.0,2213.0,rate_of:PerRI,0.43831902394939,0.5648574057037719,0.1136097446708831,8538.0
RDW,NORMA_q_age_set,aki,pop_normal,19605.0,2213.0,native,0.1563488477180298,0.859073137074517,0.1237039685377189,2797.0
RDW,NORMA_q_age_set,aki,pop_normal,19605.0,2213.0,rate_of:PerRI,0.482150926344329,0.5704346826126955,0.1249707191379714,8538.0
