subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,CRE,NORMA,t2d,first,binary,abnormal,20075.0,7643.0,1.79,1.69,1.91,1.2633848275533948e-77,4.92720082745824e-76
all,GLU,PopRI,t2d,first,binary,abnormal,19544.0,7559.0,89.23,46.39,171.61,2.74537635964691e-41,1.1896630891803274e-40
all,GLU,PerRI,t2d,first,binary,abnormal,19544.0,7559.0,3.54,2.93,4.27,1.5349441539334962e-39,5.701221143181557e-39
all,GLU,NORMA,t2d,first,binary,abnormal,19544.0,7559.0,43.46,26.6,71.0,2.959624603048862e-51,2.098642900343739e-50
all,HCT,PopRI,t2d,first,binary,abnormal,22419.0,8436.0,1.95,1.78,2.13,3.569031893351329e-48,2.1414191360107967e-47
all,HCT,PerRI,t2d,first,binary,abnormal,22419.0,8436.0,1.47,1.33,1.64,5.672411456952955e-13,8.193483215598713e-13
all,HCT,NORMA,t2d,first,binary,abnormal,22419.0,8436.0,1.91,1.72,2.11,2.2382373567847368e-35,6.714712070354212e-35
all,HDL,PopRI,t2d,first,binary,abnormal,13762.0,5012.0,1.46,1.34,1.58,2.174631586362902e-19,4.038601517531104e-19
all,HDL,PerRI,t2d,first,binary,abnormal,13762.0,5012.0,1.13,0.98,1.29,0.081309203341736,0.0857042954142623
all,HDL,NORMA,t2d,first,binary,abnormal,13762.0,5012.0,1.46,1.32,1.61,8.046966925258811e-14,1.2809457554493618e-13
all,HGB,PopRI,t2d,first,binary,abnormal,22401.0,8429.0,1.76,1.64,1.89,5.406312796950178e-55,4.2169239816211404e-54
all,HGB,PerRI,t2d,first,binary,abnormal,22401.0,8429.0,1.53,1.38,1.68,2.3580147590675546e-17,4.1801170728924827e-17
all,HGB,NORMA,t2d,first,binary,abnormal,22401.0,8429.0,2.04,1.87,2.22,1.1725204809776905e-59,1.306522821660855e-58
all,K,PopRI,t2d,first,binary,abnormal,17051.0,6547.0,1.43,1.33,1.52,8.63513559290776e-26,1.8709460451300143e-25
all,K,PerRI,t2d,first,binary,abnormal,17051.0,6547.0,1.54,1.41,1.69,9.263665053476356e-21,1.7623557906613562e-20
all,K,NORMA,t2d,first,binary,abnormal,17051.0,6547.0,1.66,1.53,1.79,1.0039768780547056e-36,3.132407859530681e-36
